library_id	predicted_occupancy_CRX	predicted_occupancy_GFI1	predicted_occupancy_MAZ	predicted_occupancy_MEF2D	predicted_occupancy_NDF1	predicted_occupancy_NRL	predicted_occupancy_RORB	predicted_occupancy_RAX	total_occupancy	diversity	info_content
Scramble.15	1.4707971940626101	0.007372885831500821	6.083359790834979e-07	7.497676802114167e-12	1.9525200104364224e-07	0.02866116465396822	2.4692190431790693e-06	5.566753999218386e-08	1.50683457303014	1.0	0.06525555745767656
Scramble.16	1.5656068164031216	0.023733745100438797	2.053220836922312	6.969982702434945e-09	5.771531802237551e-07	5.422127663328709e-05	0.00033162453067774945	2.3209994621952316e-06	3.6429501493558085	2.0	2.299050528931293
Scramble.17	2.7325635789860003	0.04396261818428501	1.38035619075197e-11	1.4731125106445403e-09	0.4867721079505864	0.04087261512056602	0.0009289226232597046	3.4981951346418826e-06	3.305103342546748	1.0	1.2831239837272617
Scramble.18	3.1729715786103894	0.9348097463284841	9.799670514943764e-10	6.626268278184327e-10	1.8466459624460208e-07	0.19150316345549673	0.0003231408536340495	0.020782941018253072	4.320390756573447	2.0	2.5670821515290614
Scramble.19	1.8769674469558417	1.735340116798773e-05	6.958288283842793e-05	0.0005869361015634835	1.1602617463779522e-07	0.013713835113249568	0.01699819692240593	0.9894430622957812	2.897796529699023	2.0	1.593280801786531
Scramble.20	1.9942326182089798	0.004778227105575107	8.820695272379404e-06	9.98516817257039e-16	1.4221824523452368e-13	0.038677102952836204	3.6169672508588866e-06	4.4306408515423704e-05	2.037744692338573	1.0	0.09278693942073427
Scramble.21	2.138402740535954	9.236242283061728e-11	0.00032025921911049975	1.1489162123093806e-07	9.484516549778469e-09	0.0015135295871826061	0.9805707937391531	4.221016828614551e-05	3.1208496577181863	2.0	1.6305398462443104
Scramble.22	1.6812716429015118	0.0003714546219476585	0.006990950520739353	4.2830950635504746e-11	1.5321599399442543e-07	0.0018470586551545356	0.012946831435106023	0.3016306951145241	2.0050587865078087	1.0	0.5754938095806594
Scramble.23	1.626998670060557	0.011802944827591809	0.00012169263942648725	4.724727647543257e-08	9.360852790470564e-10	0.02122024634323052	8.67088194430883e-05	8.695826175409808e-05	1.660317269135365	1.0	0.06412599517369282
Scramble.24	2.0162049126936936	4.5440055832494026e-11	0.0006563622611465632	1.1271232568609957e-12	0.0004494089771927742	0.0002516028010417585	5.674779698254811e-07	2.6941876077674284e-06	2.0175655484452197	1.0	0.0029566952304679378
Scramble.25	3.4663682328984136	0.07908341393653642	3.976464103487141e-10	2.995005688593029e-09	0.9261836898793763	0.007153494905668476	0.0008177552033968357	0.025722274472512997	4.505328864688557	2.0	2.3778777092946
Scramble.26	1.850687257390939	0.0009510047394205221	2.1155999689167202e-08	2.6462222196373714e-13	5.191977631159014e-06	0.6932528269523401	0.0033219584882130003	0.003785473963809187	2.5520037346686175	2.0	1.1552546637925278
Scramble.27	1.8129174473275005	2.6888453921629853e-09	0.00036668821678028865	0.03095371110063494	9.012721540752994e-06	0.0017050957746444742	0.8327173627693154	0.013078823464035457	2.691748144063297	2.0	1.410843887601723
