chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.953	2	0
CRX.954	0	0
CRX.955	0	0
CRX.957	0	0
CRX.967	1	0
CRX.975	0	0
CRX.978	0	0
CRX.979	0	0
CRX.980	0	1
CRX.982	0	0
CRX.983	0	0
CRX.986	0	0
CRX.1003	0	0
CRX.1004	0	0
CRX.1007	0	0
CRX.1011	1	2
CRX.1012	0	0
CRX.1013	0	0
CRX.1015	0	0
CRX.1016	0	0
CRX.1024	0	0
CRX.1027	0	0
CRX.1030	0	0
CRX.1032	0	0
CRX.1034	0	0
CRX.1037	0	0
CRX.1039	0	0
CRX.1042	0	0
CRX.1050	0	0
CRX.1058	2	2
CRX.1063	1	0
CRX.1069	0	0
CRX.1071	0	2
CRX.1076	1	2
CRX.1077	1	0
CRX.1081	0	1
CRX.1084	0	0
CRX.1085	0	0
CRX.1087	1	2
CRX.1091	0	0
CRX.1098	0	0
CRX.1112	0	0
CRX.1120	0	0
CRX.1122	0	0
CRX.1123	0	0
CRX.1132	0	0
CRX.1133	0	0
CRX.1135	0	0
CRX.1137	0	0
CRX.1146	0	0
CRX.1147	0	0
CRX.1150	0	0
CRX.1153	0	0
CRX.1154	0	0
CRX.1155	0	0
CRX.1157	0	0
CRX.1158	1	0
CRX.1160	1	0
CRX.1161	0	0
CRX.1162	0	0
CRX.1182	0	0
CRX.1183	0	0
CRX.1190	0	0
CRX.1196	0	0
CRX.1201	0	0
CRX.1206	0	0
CRX.1208	0	0
CRX.1210	0	0
CRX.1212	2	0
CRX.1213	0	0
CRX.1214	0	0
CRX.1224	1	0
CRX.1232	0	0
CRX.1233	0	0
CRX.1237	0	0
CRX.1240	0	0
CRX.1250	0	0
CRX.1252	0	0
CRX.1257	0	0
CRX.1261	0	2
CRX.1264	0	0
CRX.1281	1	0
CRX.1282	0	0
CRX.1283	0	0
CRX.1287	0	0
CRX.1295	0	0
CRX.1299	0	0
CRX.1301	0	0
CRX.1306	0	0
CRX.1307	0	0
CRX.1313	1	2
CRX.1317	0	0
CRX.1323	0	0
CRX.1329	0	0
CRX.1330	1	0
CRX.1333	0	0
CRX.1335	0	0
CRX.1338	0	0
CRX.1344	0	0
CRX.1350	1	0
CRX.1351	0	0
CRX.1354	0	0
CRX.1356	0	0
CRX.1358	1	2
CRX.1364	0	0
CRX.1366	0	0
CRX.1369	0	0
CRX.1372	1	0
CRX.1374	0	1
CRX.1377	0	0
CRX.1381	0	0
CRX.1387	0	0
CRX.1398	1	0
CRX.1399	0	0
CRX.1402	0	0
CRX.1403	0	0
CRX.1404	0	0
CRX.1406	0	0
CRX.1407	1	0
CRX.1409	0	0
CRX.1411	0	0
CRX.1416	0	0
CRX.1417	0	0
CRX.1421	2	2
CRX.1423	0	0
CRX.1426	2	1
CRX.1427	0	0
CRX.1428	0	0
CRX.1431	1	2
CRX.1433	0	0
CRX.1434	0	0
CRX.1435	0	0
CRX.1437	0	1
CRX.1439	0	0
CRX.1445	0	0
CRX.1447	0	0
CRX.1451	0	0
CRX.1453	0	0
CRX.1470	0	0
CRX.1473	1	1
CRX.1475	0	0
CRX.1478	0	0
