chip_peak_id	nearby_BCOR_peak_id
CRX.2220	BCOR_2_Adult_Trimmed_peak_874
CRX.2281	BCOR_1_Adult_Trimmed_peak_493
CRX.2281	BCOR_2_Adult_Trimmed_peak_900
CRX.2285	BCOR_1_Adult_Trimmed_peak_495
CRX.2285	BCOR_2_Adult_Trimmed_peak_903
CRX.2301	BCOR_1_Adult_Trimmed_peak_499
CRX.2301	BCOR_2_Adult_Trimmed_peak_911
CRX.2315	BCOR_2_Adult_Trimmed_peak_917
CRX.2325	BCOR_2_Adult_Trimmed_peak_920
CRX.2330	BCOR_2_Adult_Trimmed_peak_923
CRX.2360	BCOR_1_Adult_Trimmed_peak_508
CRX.2381	BCOR_1_Adult_Trimmed_peak_511
CRX.2381	BCOR_2_Adult_Trimmed_peak_934
CRX.2382	BCOR_1_Adult_Trimmed_peak_511
CRX.2382	BCOR_2_Adult_Trimmed_peak_934
CRX.2400	BCOR_2_Adult_Trimmed_peak_936
CRX.2409	BCOR_2_Adult_Trimmed_peak_939
CRX.2438	BCOR_2_Adult_Trimmed_peak_949
CRX.2440	BCOR_1_Adult_Trimmed_peak_519
CRX.2440	BCOR_2_Adult_Trimmed_peak_952
CRX.2444	BCOR_2_Adult_Trimmed_peak_955
CRX.2479	BCOR_2_Adult_Trimmed_peak_979
CRX.2486	BCOR_2_Adult_Trimmed_peak_984
CRX.2506	BCOR_2_Adult_Trimmed_peak_993
CRX.2513	BCOR_2_Adult_Trimmed_peak_998
CRX.2548	BCOR_1_Adult_Trimmed_peak_547
CRX.2548	BCOR_2_Adult_Trimmed_peak_1010
CRX.2556	BCOR_1_Adult_Trimmed_peak_548
CRX.2556	BCOR_2_Adult_Trimmed_peak_1013
CRX.2604	BCOR_1_Adult_Trimmed_peak_567
CRX.2604	BCOR_2_Adult_Trimmed_peak_1041
CRX.2605	BCOR_1_Adult_Trimmed_peak_568
CRX.2605	BCOR_2_Adult_Trimmed_peak_1042
CRX.2607	BCOR_1_Adult_Trimmed_peak_569
CRX.2631	BCOR_2_Adult_Trimmed_peak_1051
CRX.2670	BCOR_2_Adult_Trimmed_peak_1073
CRX.2727	BCOR_1_Adult_Trimmed_peak_596
CRX.2727	BCOR_2_Adult_Trimmed_peak_1095
CRX.2788	BCOR_2_Adult_Trimmed_peak_1120
