chip_peak_id	nearby_BCOR_peak_id
CRX.792	BCOR_2_P0_peak_1146
CRX.799	BCOR_1_P0_peak_662
CRX.799	BCOR_2_P0_peak_1149
CRX.800	BCOR_2_P0_peak_1150
CRX.803	BCOR_1_P0_peak_663
CRX.803	BCOR_2_P0_peak_1151
CRX.811	BCOR_2_P0_peak_1157
CRX.877	BCOR_1_P0_peak_711
CRX.877	BCOR_2_P0_peak_1243
CRX.900	BCOR_1_P0_peak_731
CRX.900	BCOR_2_P0_peak_1275
CRX.907	BCOR_1_P0_peak_735
CRX.907	BCOR_2_P0_peak_1283
CRX.924	BCOR_2_P0_peak_1300
CRX.925	BCOR_2_P0_peak_1300
CRX.980	BCOR_2_P0_peak_1367
CRX.1011	BCOR_1_P0_peak_827
CRX.1011	BCOR_2_P0_peak_1422
CRX.1058	BCOR_1_P0_peak_863
CRX.1058	BCOR_2_P0_peak_1480
CRX.1071	BCOR_1_P0_peak_874
CRX.1071	BCOR_2_P0_peak_1500
CRX.1076	BCOR_1_P0_peak_888
CRX.1076	BCOR_2_P0_peak_1516
CRX.1081	BCOR_2_P0_peak_1523
CRX.1087	BCOR_1_P0_peak_896
CRX.1087	BCOR_2_P0_peak_1539
CRX.1261	BCOR_1_P0_peak_1032
CRX.1261	BCOR_2_P0_peak_1769
CRX.1313	BCOR_1_P0_peak_1091
CRX.1313	BCOR_2_P0_peak_1867
CRX.1358	BCOR_1_P0_peak_1125
CRX.1358	BCOR_2_P0_peak_1920
CRX.1374	BCOR_2_P0_peak_1937
CRX.1421	BCOR_1_P0_peak_1165
CRX.1421	BCOR_2_P0_peak_1982
CRX.1426	BCOR_2_P0_peak_1992
CRX.1431	BCOR_1_P0_peak_1172
CRX.1431	BCOR_2_P0_peak_2005
CRX.1437	BCOR_2_P0_peak_2013
CRX.1473	BCOR_2_P0_peak_2056
CRX.1529	BCOR_1_P0_peak_1282
CRX.1529	BCOR_2_P0_peak_2175
CRX.1550	BCOR_1_P0_peak_1301
CRX.1550	BCOR_2_P0_peak_2206
CRX.1554	BCOR_1_P0_peak_1304
CRX.1554	BCOR_2_P0_peak_2211
CRX.1593	BCOR_1_P0_peak_1329
CRX.1593	BCOR_2_P0_peak_2251
CRX.1633	BCOR_1_P0_peak_1391
CRX.1633	BCOR_2_P0_peak_2347
CRX.1659	BCOR_2_P0_peak_2396
CRX.1665	BCOR_1_P0_peak_1421
CRX.1665	BCOR_2_P0_peak_2401
CRX.1671	BCOR_1_P0_peak_1422
CRX.1671	BCOR_2_P0_peak_2407
CRX.1782	BCOR_1_P0_peak_1485
CRX.1782	BCOR_2_P0_peak_2503
CRX.1787	BCOR_1_P0_peak_1489
CRX.1787	BCOR_2_P0_peak_2508
CRX.1789	BCOR_1_P0_peak_1491
CRX.1789	BCOR_2_P0_peak_2513
CRX.1792	BCOR_1_P0_peak_1493
CRX.1792	BCOR_2_P0_peak_2516
CRX.1793	BCOR_1_P0_peak_1495
CRX.1793	BCOR_2_P0_peak_2519
CRX.1794	BCOR_2_P0_peak_2519
CRX.1812	BCOR_2_P0_peak_2557
CRX.1857	BCOR_1_P0_peak_1540
CRX.1874	BCOR_1_P0_peak_1547
CRX.1874	BCOR_2_P0_peak_2608
CRX.1896	BCOR_1_P0_peak_1569
CRX.1896	BCOR_2_P0_peak_2640
CRX.1917	BCOR_1_P0_peak_1575
CRX.1920	BCOR_2_P0_peak_2655
CRX.1940	BCOR_2_P0_peak_2663
CRX.1974	BCOR_1_P0_peak_1626
CRX.1974	BCOR_2_P0_peak_2747
CRX.1974	BCOR_2_P0_peak_2748
CRX.2001	BCOR_1_P0_peak_1646
CRX.2001	BCOR_2_P0_peak_2787
CRX.2018	BCOR_1_P0_peak_1658
CRX.2018	BCOR_2_P0_peak_2804
CRX.2050	BCOR_2_P0_peak_2830
CRX.2070	BCOR_2_P0_peak_2857
CRX.2071	BCOR_1_P0_peak_1684
CRX.2071	BCOR_2_P0_peak_2858
CRX.2100	BCOR_2_P0_peak_2893
CRX.2123	BCOR_1_P0_peak_1711
CRX.2123	BCOR_2_P0_peak_2908
CRX.2137	BCOR_1_P0_peak_1725
CRX.2137	BCOR_2_P0_peak_2929
CRX.2158	BCOR_1_P0_peak_1757
CRX.2158	BCOR_2_P0_peak_2974
CRX.2175	BCOR_1_P0_peak_1766
CRX.2175	BCOR_2_P0_peak_2994
CRX.2181	BCOR_2_P0_peak_2998
CRX.2230	BCOR_1_P0_peak_1812
CRX.2230	BCOR_2_P0_peak_3064
CRX.2285	BCOR_1_P0_peak_1863
CRX.2285	BCOR_2_P0_peak_3144
CRX.2288	BCOR_1_P0_peak_1864
CRX.2288	BCOR_2_P0_peak_3145
CRX.2301	BCOR_1_P0_peak_1879
CRX.2301	BCOR_2_P0_peak_3181
CRX.2330	BCOR_1_P0_peak_1917
CRX.2330	BCOR_2_P0_peak_3240
CRX.2334	BCOR_1_P0_peak_1926
CRX.2334	BCOR_2_P0_peak_3258
CRX.2360	BCOR_2_P0_peak_3280
CRX.2381	BCOR_1_P0_peak_1946
CRX.2381	BCOR_2_P0_peak_3301
CRX.2382	BCOR_1_P0_peak_1946
CRX.2382	BCOR_2_P0_peak_3301
CRX.2393	BCOR_2_P0_peak_3324
CRX.2399	BCOR_1_P0_peak_1965
